Recipe Name,Ingredients,Link
Karwar Style Valval Recipe (Mixed Vegetables In Coconut Milk),"Green beans (French Beans), Carrot (Gajjar), Green peas (Matar), Potato (Aloo), Mangalorean cucumber, Pointed gourd (Parval), Green Chillies, Coconut milk, Mustard seeds (Rai/ Kadugu), Cumin seeds (Jeera), Dry Red Chilli, Coconut Oil, Curry leaves",https://www.archanaskitchen.com/karwar-style-valval-recipe-mixed-vegetables-in-coconut-milk
Thai Style Sweet And Sour Cucumber & Carrot Salad Recipe,"Cucumber, Carrot (Gajjar), Sugar, Rice Vinegar, Sesame (Gingelly) Oil, Red Chilli flakes, Honey, Raw Peanuts (Moongphali), Spring Onion (Bulb & Greens), Salt",https://www.archanaskitchen.com/thai-style-sweet-and-sour-cucumber-salad-recipe
Kerala Style Vendakka Uppadan Recipe,"Bhindi (Lady Finger/Okra), Tamarind, Turmeric powder (Haldi), Coconut Oil, Mustard seeds (Rai/ Kadugu), Asafoetida (hing), Curry leaves, Salt, Methi Seeds (Fenugreek Seeds), Rice, Dry Red Chillies",https://www.archanaskitchen.com/vendakkai-uppadan-recipe-kerala-style-okra-curry-without-coconut
Konkani Style Alasande Randayi Recipe-Black Eyed Beans and Yam Gravy,"Black Eyed Beans (Lobia), Elephant yam (Suran/Senai/Ratalu), Turmeric powder (Haldi), Jaggery, Salt, Coriander (Dhania) Seeds, Dry Red Chilli, Tamarind, Fresh coconut, Mustard seeds (Rai/ Kadugu), Curry leaves, Asafoetida (hing), Oil",https://www.archanaskitchen.com/konkani-style-alsande-randayi-recipe-black-eyed-beans-and-yam-gravy
Chicken Parmigiana Recipe,"Chicken breasts, Whole Wheat Bread crumbs, All Purpose Flour (Maida), Salt and Pepper, Whole Egg, Parmesan cheese, Mozzarella cheese, Homemade tomato puree, Onion, Garlic, Sugar, Red Chilli powder, Red Chilli flakes, Rosemary, Tabasco Original - Hot Sauce, Salt, Oil",https://www.archanaskitchen.com/chicken-parmigiania-recipe
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,"Chicken, Onion, Tomato, Green Chillies, Ginger, Garlic, Turmeric powder (Haldi), Garam masala powder, Sesame (Gingelly) Oil, Salt, Methi Seeds (Fenugreek Seeds), Coriander (Dhania) Seeds, Dry Red Chillies, Fennel seeds (Saunf), Sesame (Gingelly) Oil, Garlic, Sorrel Leaves (Gongura), Salt",https://www.archanaskitchen.com/gongura-chicken-curry-recipe-andhra-style-gongura-chicken
"Sesame Millet Noodle Salad with Raw Carrots, Cucumbers & Spicy Peanut Dressing","Hakka Noodles, Cucumbers, Carrots (Gajjar), Thai basil leaves, Peanut Butter, Sesame seeds (Til seeds), Sriracha sauce, Ginger, Garlic, Fresh Red Chilli, Rice Vinegar, Water, Honey, Raw Peanuts (Moongphali), Sesame seeds (Til seeds), Basil leaves",https://www.archanaskitchen.com/sesame-noodle-salad-with-raw-carrots-cucumbers-spicy-peanut-dressing
Vankaya Ulli Karam Recipe - Eggplant In Spicy Onion Gravy,"Small Brinjal (Baingan / Eggplant), Onions, Tomato, Garlic, Ginger, Green Chillies, Cumin seeds (Jeera), Coriander (Dhania) Seeds, Methi Seeds (Fenugreek Seeds), Salt, Oil, Coriander (Dhania) Leaves",https://www.archanaskitchen.com/vankaya-ulli-karam-recipe-eggplant-in-spicy-onion-gravy
Sabsige Soppu Palya Recipe - Udupi Style Dill Leaves Stir Fry,"Dill leaves, Fresh coconut, Mustard seeds (Rai/ Kadugu), Chana dal (Bengal Gram Dal), Garlic, Onion, Green Chilli, Curry leaves, Oil, Salt",https://www.archanaskitchen.com/sabsige-soppu-palya-udupi-style-dill-leaves-stir-fry-with-coconut
Panasa Pottu Pappu Koora Recipe - Jackfruit & Dal Curry,"Jackfruit Raw (Kathal), Yellow Moong Dal (Split), Oil, Black Urad Dal (Split), Cumin seeds (Jeera), Mustard seeds (Rai/ Kadugu), Dry Red Chillies, Asafoetida (hing), Curry leaves, Turmeric powder (Haldi), Salt",https://www.archanaskitchen.com/panasa-pottu-pappu-koora-recipe-raw-jackfruit-moong-dal-curry
